PE,OAD,SITE,LINK1,LINK1BW,LINK2,LINK2,LINK3,LINK3BW,LINK4,LINK4BW
1,0.5,ANL-1,FNAL-1,1.5,ANL-2,1.5,,,,
1,0.5,ANL-2,STAR,1.5,ANL-1,1.5,,,,
1,ALL,BOST,CLEV,1.1,NEWY,1.1,,,,
2,1,FNAL-1,FNAL-2,1.5,ANL-1,1.5,,,,
2,1,FNAL-2,FNAL-1,1.5,CHIC,1.5,,,,
0.3,0.3,EQCH,STAR,2.2,CLEV,2.2,,,,
0,ALL,CLEV,BOST,1.1,EQCH,2.2,ASHB,1.1,,
1,ALL,WASH,ASHB,1.1,PHIL,1.2,JLAB,0.1,ATLA,2.1
0.5,ALL,STAR,ANL-2,2.1,EQCH,2.1,NASH,2.1,CHIC,1.5
0.2,0.1,PPPL,AOFA,0.1,PHIL,0.1,,,,
0.2,0.1,BOIS,SEAT,0.4,SALT,0.4,,,,
0.1,ALL,SALT,BOIS,0.4,DENV,0.6,,,,
0.1,ALL,DENV,KANS,0.6,ALBQ,0.6,SALT,0.4,,
1,ALL,NEWY,BOST,1.1,BNL-1,1,AOFA,1.1,,
1,0.5,BNL-1,BNL-2,1,NEWY,1,,,,
0.1,ALL,SACR,SEAT,0.4,SALT,0.5,SNLL,0.5,JGI,0.5
0.4,0.2,SNLL,SACR,0.5,LLNL,0.5,,,,
0.4,0.2,LLNL,SNTLL,0.5,SUNN,0.5,,,,
0.1,0.1,LASV,SALT,0.6,LOSA,0.6,,,,
1,ALL,AOFA,NEWY,1.1,BNL-2,1,PHIL,1.1,PPPL,0.1
1,ALL,BNL-2,AOFA,1,BNL-1,1,,,,
0.2,0.1,JGI,SACR,0.5,LBNL-1,0.5,,,,
0.4,0.2,LBNL-1,JGI,0.5,LBNL-2,0.5,,,,
0.1,ALL,NASH,STAR,2.1,ORNL,0.2,CHAT,2.1,,
0.2,ALL,JLAB,WASH,0.1,ATLA,0.1,,,,
0.2,0.2,ASHB,WASH,1.1,CLEV,1.1,,,,
0,ALL,PHIL,PPPL,0.1,AOFA,1.1,WASH,1.2,,
0.6,0.3,LBNL-2,LBNL-1,0.5,SLAC,0.5,,,,
0.4,ALL,ORNL,CHAT,0.2,NASH,0.2,,,,
1,ALL,SLAC,LBNL-2,0.5,SUNN,0.5,,,,
0.5,ALL,SUNN,SLAC,0.5,LLNL,0.5,,,,
0.2,0.2,ALBQ,DENV,0.6,ELPA,0.6,,,,
0.2,0.2,EQSJ,SUNN,0.5,LOSA,0.5,,,,
0,ALL,CHAT,ORNL,0.2,NASH,2.1,ATLA,2.3,,
0.1,ALL,LOSA,LASV,0.6,SAND,0.6,EQSJ,0.5,,
0.1,0.1,SAND,ELPA,0.6,LOSA,0.6,,,,
0.2,ALL,ATLA,WASH,2.1,JLAB,0.1,HOUS,0.6,CHAT,2.3
0.1,ALL,ELPA,ALBQ,0.6,HOUS,0.6,SAND,0.6,,
0.1,ALL,HOUS,KANS,0.6,ATLA,0.6,ELPA,0.6,,